plate_id,violation_date,violation_type,county
BA9664,11/4/2025,SCHOOL_ZONE_SPEEDING,New York County
EK8161,11/4/2025,SCHOOL_ZONE_SPEEDING,Queens County
LA7378,11/3/2025,SCHOOL_ZONE_SPEEDING,Bronx County
SA9026,11/11/2025,SCHOOL_ZONE_SPEEDING,New York County
NZ9634,11/7/2025,SPEED_CAMERA_VIOLATION,Richmond County
NH3402,11/11/2025,SCHOOL_ZONE_SPEEDING,Kings County
SQ9336,11/2/2025,SPEED_CAMERA_VIOLATION,Kings County
AM6212,11/4/2025,SCHOOL_ZONE_SPEEDING,Richmond County
SK6941,11/4/2025,SCHOOL_ZONE_SPEEDING,Queens County
TG2389,11/11/2025,SPEED_CAMERA_VIOLATION,Kings County
EK9505,11/12/2025,SPEED_CAMERA_VIOLATION,Richmond County
AA2932,11/10/2025,SCHOOL_ZONE_SPEEDING,Richmond County
KE6076,11/2/2025,SCHOOL_ZONE_SPEEDING,Kings County
QR7627,11/11/2025,SPEED_CAMERA_VIOLATION,Queens County
AF9091,11/10/2025,SPEED_CAMERA_VIOLATION,Richmond County
QF6897,11/2/2025,SCHOOL_ZONE_SPEEDING,Kings County
ET8238,11/13/2025,SPEED_CAMERA_VIOLATION,Queens County
AA2932,11/5/2025,SCHOOL_ZONE_SPEEDING,Bronx County
TG3796,11/12/2025,SPEED_CAMERA_VIOLATION,Queens County
TG2442,11/3/2025,SCHOOL_ZONE_SPEEDING,Bronx County
IB1247,11/6/2025,SPEED_CAMERA_VIOLATION,Kings County
AA3211,11/10/2025,SPEED_CAMERA_VIOLATION,New York County
SA2979,11/8/2025,SPEED_CAMERA_VIOLATION,Kings County
IB7103,11/4/2025,SPEED_CAMERA_VIOLATION,Richmond County
SA2730,11/12/2025,SPEED_CAMERA_VIOLATION,Kings County
ET2023,11/12/2025,SPEED_CAMERA_VIOLATION,Queens County
QR3056,11/2/2025,SPEED_CAMERA_VIOLATION,Queens County
AA7149,11/13/2025,SCHOOL_ZONE_SPEEDING,Queens County
AV7161,11/2/2025,SPEED_CAMERA_VIOLATION,New York County
ET2639,11/13/2025,SPEED_CAMERA_VIOLATION,New York County
ET1457,11/7/2025,SPEED_CAMERA_VIOLATION,New York County
BA2903,11/11/2025,SPEED_CAMERA_VIOLATION,Bronx County
BA7616,11/4/2025,SCHOOL_ZONE_SPEEDING,Kings County
SK6761,11/11/2025,SCHOOL_ZONE_SPEEDING,Bronx County
QR9690,11/5/2025,SPEED_CAMERA_VIOLATION,Bronx County
AZ7903,11/13/2025,SPEED_CAMERA_VIOLATION,Queens County
IB4045,11/1/2025,SPEED_CAMERA_VIOLATION,New York County
IB8329,11/10/2025,SCHOOL_ZONE_SPEEDING,New York County
UA3447,11/3/2025,SPEED_CAMERA_VIOLATION,New York County
ET3331,11/7/2025,SPEED_CAMERA_VIOLATION,Richmond County
WN7757,11/1/2025,SCHOOL_ZONE_SPEEDING,Bronx County
