plate_id,violation_date,violation_type,county
AM9801,2024-07-09,SPEED_CAMERA_VIOLATION,New York County
AF2465,2025-06-02,SCHOOL_ZONE_SPEEDING,New York County
AZ6720,2024-06-23,SCHOOL_ZONE_SPEEDING,Bronx County
SA3103,2025-04-05,SCHOOL_ZONE_SPEEDING,New York County
NZ1988,2025-07-10,SCHOOL_ZONE_SPEEDING,New York County
NH5575,2024-01-29,SCHOOL_ZONE_SPEEDING,Richmond County
TG2437,2025-06-18,SCHOOL_ZONE_SPEEDING,Queens County
IB9376,2025-04-27,SPEED_CAMERA_VIOLATION,Bronx County
AA7774,2025-05-04,SPEED_CAMERA_VIOLATION,Richmond County
KL2582,2024-08-17,SPEED_CAMERA_VIOLATION,Kings County
NH3836,2024-04-29,SCHOOL_ZONE_SPEEDING,Kings County
AM9465,2024-04-15,SCHOOL_ZONE_SPEEDING,Richmond County
AZ6527,2024-10-29,SCHOOL_ZONE_SPEEDING,Kings County
AI6621,2024-01-01,SCHOOL_ZONE_SPEEDING,Kings County
KL4943,2025-07-14,SCHOOL_ZONE_SPEEDING,New York County
QF2150,2024-06-08,SPEED_CAMERA_VIOLATION,Kings County
BA2399,2025-03-04,SPEED_CAMERA_VIOLATION,Richmond County
UA4990,2024-04-30,SPEED_CAMERA_VIOLATION,Richmond County
UA5234,2025-06-07,SPEED_CAMERA_VIOLATION,Richmond County
KE3943,2024-11-23,SCHOOL_ZONE_SPEEDING,Bronx County
ET1908,2025-09-07,SCHOOL_ZONE_SPEEDING,Bronx County
KL3471,2025-04-11,SCHOOL_ZONE_SPEEDING,Queens County
SA7154,2025-05-02,SCHOOL_ZONE_SPEEDING,New York County
AI9310,2024-03-09,SCHOOL_ZONE_SPEEDING,New York County
TG3765,2025-08-17,SPEED_CAMERA_VIOLATION,Bronx County
TG7268,2025-05-17,SCHOOL_ZONE_SPEEDING,Kings County
IB9744,2025-05-07,SCHOOL_ZONE_SPEEDING,Kings County
QF3681,2024-10-19,SPEED_CAMERA_VIOLATION,Queens County
KL5690,2024-02-29,SPEED_CAMERA_VIOLATION,Richmond County
AF8392,2024-05-13,SPEED_CAMERA_VIOLATION,Bronx County
LA9647,2024-12-05,SPEED_CAMERA_VIOLATION,Bronx County
ET2023,2025-01-11,SCHOOL_ZONE_SPEEDING,Richmond County
AI3208,2024-03-23,SPEED_CAMERA_VIOLATION,Queens County
BA7518,2024-06-08,SPEED_CAMERA_VIOLATION,New York County
AF2692,2024-01-19,SPEED_CAMERA_VIOLATION,New York County
NH4553,2025-08-20,SCHOOL_ZONE_SPEEDING,Queens County
AV4476,2024-03-13,SPEED_CAMERA_VIOLATION,Kings County
QR7949,2025-07-23,SPEED_CAMERA_VIOLATION,Bronx County
SA5535,2025-03-05,SCHOOL_ZONE_SPEEDING,Kings County
AV3749,2025-01-28,SCHOOL_ZONE_SPEEDING,New York County
AM6852,2024-07-03,SPEED_CAMERA_VIOLATION,Bronx County
AV1456,2024-05-28,SPEED_CAMERA_VIOLATION,Queens County
BA1624,2025-02-26,SPEED_CAMERA_VIOLATION,Kings County
AA4065,2024-06-15,SCHOOL_ZONE_SPEEDING,Bronx County
BA8910,2024-10-20,SCHOOL_ZONE_SPEEDING,New York County
DL3339,2025-05-17,SPEED_CAMERA_VIOLATION,Kings County
WN3921,2024-06-13,SCHOOL_ZONE_SPEEDING,Kings County
AI2527,2024-01-17,SCHOOL_ZONE_SPEEDING,Bronx County
UA7107,2025-09-23,SCHOOL_ZONE_SPEEDING,Queens County
CX1015,2025-06-04,SPEED_CAMERA_VIOLATION,Queens County
NH8129,2025-03-18,SCHOOL_ZONE_SPEEDING,Queens County
WN2925,2024-11-05,SPEED_CAMERA_VIOLATION,Richmond County
SA5420,2025-03-17,SPEED_CAMERA_VIOLATION,Richmond County
AF8660,2025-03-11,SCHOOL_ZONE_SPEEDING,New York County
KL4907,2025-04-11,SCHOOL_ZONE_SPEEDING,Kings County
KE2453,2024-06-02,SPEED_CAMERA_VIOLATION,Bronx County
SQ2818,2025-03-31,SPEED_CAMERA_VIOLATION,Bronx County
AC3780,2024-05-21,SPEED_CAMERA_VIOLATION,New York County
SK8675,2025-05-16,SCHOOL_ZONE_SPEEDING,New York County
UA1028,2025-03-16,SCHOOL_ZONE_SPEEDING,Bronx County
QF5643,2024-11-24,SCHOOL_ZONE_SPEEDING,Kings County
QR6552,2024-04-19,SPEED_CAMERA_VIOLATION,Bronx County
IB2927,2024-04-02,SPEED_CAMERA_VIOLATION,Queens County
WN8861,2025-06-22,SCHOOL_ZONE_SPEEDING,Richmond County
SA3979,2024-12-17,SPEED_CAMERA_VIOLATION,Richmond County
SA7437,2024-03-12,SCHOOL_ZONE_SPEEDING,Bronx County
ET6340,2024-05-24,SPEED_CAMERA_VIOLATION,New York County
KE2015,2024-07-24,SCHOOL_ZONE_SPEEDING,Richmond County
AA5371,2024-01-08,SCHOOL_ZONE_SPEEDING,Kings County
SK7444,2025-05-01,SPEED_CAMERA_VIOLATION,Kings County
SK4886,2024-08-14,SCHOOL_ZONE_SPEEDING,Kings County
NZ2060,2024-05-10,SPEED_CAMERA_VIOLATION,Queens County
AI8052,2024-12-19,SCHOOL_ZONE_SPEEDING,Kings County
AF9694,2024-10-05,SCHOOL_ZONE_SPEEDING,Richmond County
SK7547,2024-03-29,SCHOOL_ZONE_SPEEDING,Richmond County
EK4100,2024-09-07,SCHOOL_ZONE_SPEEDING,Queens County
AM4751,2025-01-27,SPEED_CAMERA_VIOLATION,Queens County
AI8506,2025-04-13,SPEED_CAMERA_VIOLATION,Queens County
BA3826,2024-12-27,SPEED_CAMERA_VIOLATION,Queens County
EK4968,2024-05-26,SCHOOL_ZONE_SPEEDING,Queens County
AA4958,2024-04-10,SCHOOL_ZONE_SPEEDING,Richmond County
KE4587,2025-02-25,SPEED_CAMERA_VIOLATION,Richmond County
QF4484,2025-07-31,SPEED_CAMERA_VIOLATION,Queens County
AC8533,2025-07-09,SCHOOL_ZONE_SPEEDING,New York County
IB4805,2025-04-26,SCHOOL_ZONE_SPEEDING,Queens County
LH8065,2024-01-05,SPEED_CAMERA_VIOLATION,New York County
AC7018,2024-03-22,SCHOOL_ZONE_SPEEDING,New York County
SQ8501,2025-03-29,SPEED_CAMERA_VIOLATION,Bronx County
KE7714,2025-09-17,SCHOOL_ZONE_SPEEDING,Bronx County
NH9186,2025-02-28,SCHOOL_ZONE_SPEEDING,New York County
TG3952,2024-05-10,SCHOOL_ZONE_SPEEDING,Kings County
AA2173,2024-12-25,SPEED_CAMERA_VIOLATION,New York County
KL8781,2024-10-12,SPEED_CAMERA_VIOLATION,Kings County
IB5029,2024-02-22,SPEED_CAMERA_VIOLATION,Bronx County
KL8406,2025-07-22,SPEED_CAMERA_VIOLATION,Richmond County
LA9586,2025-07-10,SPEED_CAMERA_VIOLATION,Bronx County
SA3589,2024-08-04,SPEED_CAMERA_VIOLATION,Queens County
KE5891,2025-02-14,SCHOOL_ZONE_SPEEDING,Kings County
LA3180,2025-06-23,SPEED_CAMERA_VIOLATION,Bronx County
IB7229,2025-08-06,SPEED_CAMERA_VIOLATION,New York County
QF6243,2025-08-05,SPEED_CAMERA_VIOLATION,New York County
KE1052,2025-08-25,SCHOOL_ZONE_SPEEDING,New York County
BA5574,2024-02-28,SPEED_CAMERA_VIOLATION,Queens County
BA6398,2024-02-08,SCHOOL_ZONE_SPEEDING,Kings County
CX1015,2024-01-24,SPEED_CAMERA_VIOLATION,Queens County
AC7315,2025-05-08,SCHOOL_ZONE_SPEEDING,Queens County
BA2633,2024-07-20,SCHOOL_ZONE_SPEEDING,Queens County
AZ3269,2025-02-20,SCHOOL_ZONE_SPEEDING,Bronx County
AA2636,2024-01-21,SPEED_CAMERA_VIOLATION,Kings County
QF5738,2025-07-05,SCHOOL_ZONE_SPEEDING,New York County
TG4623,2025-02-19,SPEED_CAMERA_VIOLATION,Richmond County
AC6946,2024-09-18,SCHOOL_ZONE_SPEEDING,Queens County
SA3089,2025-09-12,SPEED_CAMERA_VIOLATION,New York County
EK5416,2024-12-04,SCHOOL_ZONE_SPEEDING,New York County
ET7315,2025-02-07,SPEED_CAMERA_VIOLATION,New York County
ET5950,2025-02-04,SPEED_CAMERA_VIOLATION,Kings County
EK8169,2025-01-08,SPEED_CAMERA_VIOLATION,Bronx County
QF4202,2024-04-29,SCHOOL_ZONE_SPEEDING,New York County
UA5552,2024-01-30,SPEED_CAMERA_VIOLATION,Bronx County
AI3634,2025-05-19,SCHOOL_ZONE_SPEEDING,Queens County
LH3993,2024-12-31,SCHOOL_ZONE_SPEEDING,Richmond County
EK7539,2025-03-27,SPEED_CAMERA_VIOLATION,New York County
TG5067,2024-02-16,SCHOOL_ZONE_SPEEDING,Kings County
AI3868,2024-09-20,SPEED_CAMERA_VIOLATION,Kings County
AV2901,2024-10-07,SCHOOL_ZONE_SPEEDING,Queens County
TG3782,2024-02-23,SCHOOL_ZONE_SPEEDING,Bronx County
SA8516,2025-06-05,SCHOOL_ZONE_SPEEDING,New York County
KL7108,2025-08-11,SPEED_CAMERA_VIOLATION,Richmond County
LH3182,2025-03-09,SCHOOL_ZONE_SPEEDING,Queens County
AC8333,2025-06-06,SCHOOL_ZONE_SPEEDING,Bronx County
SQ3016,2025-09-15,SPEED_CAMERA_VIOLATION,Kings County
AC6293,2025-06-15,SPEED_CAMERA_VIOLATION,Queens County
